province,type_zone,nom_etablissement,type_etablissement,nb_eleves,mois_depuis_derniere_visite,theme,saison,jour,distance_km,budget_mad,risque_logistique,score_engagement
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,649,2,Initiation Python,Printemps,Jeudi,130,1147.81,Faible,58
Settat,Mixte,Lycée Allal Al Fassi,Lycée,855,22,Intelligence Artificielle MVP,Automne,Mercredi,51,473.22,Faible,82
Chefchaouen,Rurale,Collège Al Houria,Collège,627,2,Intelligence Artificielle MVP,Automne,Jeudi,323,2911.13,Moyen,65
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,929,18,Initiation Python,Automne,Mercredi,18,182.56,Faible,70
Chefchaouen,Rurale,Collège Al Houria,Collège,574,13,Intelligence Artificielle MVP,Ete,Mercredi,390,3601.67,Moyen,55
Settat,Mixte,Collège Al Wahda,Collège,896,17,Robotique & Arduino,Printemps,Samedi,114,967.63,Faible,79
Zagora,Rurale,Lycée Hassan II,Lycée,394,7,Intelligence Artificielle MVP,Printemps,Vendredi,371,4194.34,Faible,71
Fes,Urbaine,CPGE Al Khansaa,CPGE,260,3,Initiation Python,Automne,Lundi,27,296.71,Faible,61
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,664,4,Intelligence Artificielle MVP,Automne,Samedi,72,654.3,Faible,75
Zagora,Rurale,Lycée Hassan II,Lycée,437,1,Creation de Jeux Scratch,Printemps,Dimanche,213,2379.41,Faible,57
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,221,14,Creation de Jeux Scratch,Automne,Mercredi,26,218.82,Faible,60
Azilal,Rurale,Lycée Ouzoud,Lycée,417,6,Robotique & Arduino,Automne,Samedi,222,2565.52,Moyen,82
Tinghir,Rurale,Lycée Bamou,Lycée,500,7,Creation de Jeux Scratch,Hiver,Samedi,406,6502.72,Eleve,72
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,882,1,Creation de Jeux Scratch,Printemps,Jeudi,49,437.59,Faible,37
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,756,18,Creation de Jeux Scratch,Automne,Vendredi,124,1023.56,Faible,67
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,885,12,Robotique & Arduino,Hiver,Samedi,12,140.65,Faible,80
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,525,19,Initiation Python,Ete,Jeudi,363,3931.0,Moyen,67
Settat,Mixte,Lycée Allal Al Fassi,Lycée,838,8,Creation de Jeux Scratch,Hiver,Lundi,140,1177.48,Faible,68
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,554,8,Robotique & Arduino,Hiver,Mercredi,105,1040.3,Faible,71
Fes,Urbaine,CPGE Al Khansaa,CPGE,265,14,Robotique & Arduino,Hiver,Jeudi,38,325.59,Faible,66
Zagora,Rurale,Lycée Hassan II,Lycée,423,15,Robotique & Arduino,Automne,Vendredi,235,2271.79,Moyen,73
Safi,Mixte,Lycée Moulay Ismail,Lycée,680,23,Initiation Python,Hiver,Dimanche,81,679.05,Faible,77
Tinghir,Rurale,Lycée Bamou,Lycée,546,0,Creation de Jeux Scratch,Printemps,Lundi,438,3771.47,Moyen,62
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,753,23,Intelligence Artificielle MVP,Automne,Mardi,40,477.73,Faible,62
Tata,Rurale,Lycée Hassan Ier,Lycée,310,10,Initiation Python,Hiver,Dimanche,275,4527.43,Eleve,79
Settat,Mixte,Collège Al Wahda,Collège,914,2,Intelligence Artificielle MVP,Automne,Mercredi,92,792.45,Faible,56
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,926,3,Intelligence Artificielle MVP,Ete,Mercredi,45,445.08,Faible,49
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,531,10,Creation de Jeux Scratch,Ete,Lundi,67,670.5,Faible,49
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,411,12,Intelligence Artificielle MVP,Ete,Vendredi,382,3131.4,Faible,61
Tata,Rurale,Lycée Hassan Ier,Lycée,281,21,Intelligence Artificielle MVP,Hiver,Mardi,270,4732.5,Eleve,70
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,851,23,Creation de Jeux Scratch,Printemps,Mercredi,14,144.27,Faible,60
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,1015,22,Intelligence Artificielle MVP,Automne,Mercredi,50,402.86,Faible,65
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,865,8,Intelligence Artificielle MVP,Ete,Jeudi,50,560.04,Faible,44
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,861,21,Initiation Python,Ete,Samedi,31,339.12,Faible,55
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,897,17,Robotique & Arduino,Ete,Dimanche,31,311.01,Faible,58
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,839,18,Robotique & Arduino,Hiver,Vendredi,26,279.56,Faible,63
Settat,Mixte,Lycée Allal Al Fassi,Lycée,865,8,Initiation Python,Printemps,Jeudi,89,825.59,Faible,74
Midelt,Rurale,Collège Ibn Khaldoun,Collège,667,8,Initiation Python,Automne,Mardi,450,3844.62,Moyen,79
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,655,11,Creation de Jeux Scratch,Hiver,Mardi,141,1614.84,Faible,71
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,473,17,Initiation Python,Hiver,Lundi,313,5587.41,Eleve,72
Azilal,Rurale,Lycée Ouzoud,Lycée,424,13,Intelligence Artificielle MVP,Automne,Mercredi,394,3863.32,Moyen,68
Tata,Rurale,Lycée Hassan Ier,Lycée,282,16,Robotique & Arduino,Automne,Jeudi,424,3809.06,Moyen,86
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,485,13,Robotique & Arduino,Printemps,Jeudi,396,3688.76,Moyen,80
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,345,7,Robotique & Arduino,Hiver,Jeudi,333,4799.22,Eleve,78
Settat,Mixte,Collège Al Wahda,Collège,932,20,Intelligence Artificielle MVP,Automne,Dimanche,110,1013.64,Faible,81
Settat,Mixte,Collège Al Wahda,Collège,948,2,Robotique & Arduino,Printemps,Dimanche,86,833.23,Faible,75
Midelt,Rurale,Collège Ibn Khaldoun,Collège,590,18,Initiation Python,Automne,Jeudi,257,2150.6,Faible,70
Safi,Mixte,Lycée Moulay Ismail,Lycée,676,3,Robotique & Arduino,Automne,Samedi,51,464.21,Faible,83
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1059,4,Initiation Python,Printemps,Dimanche,21,208.08,Faible,68
Settat,Mixte,Lycée Allal Al Fassi,Lycée,869,14,Initiation Python,Printemps,Vendredi,120,1241.87,Faible,75
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,995,17,Intelligence Artificielle MVP,Automne,Mardi,31,269.84,Faible,72
Azilal,Rurale,Lycée Ouzoud,Lycée,402,19,Creation de Jeux Scratch,Printemps,Mardi,179,2132.34,Faible,75
Taroudant,Mixte,Collège Al Majd,Collège,782,11,Intelligence Artificielle MVP,Printemps,Dimanche,71,760.39,Faible,82
Settat,Mixte,Lycée Allal Al Fassi,Lycée,846,8,Creation de Jeux Scratch,Hiver,Jeudi,132,1430.43,Faible,75
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,922,1,Intelligence Artificielle MVP,Automne,Dimanche,41,472.84,Faible,59
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,823,21,Robotique & Arduino,Ete,Samedi,44,511.93,Faible,52
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,896,0,Robotique & Arduino,Printemps,Lundi,39,312.95,Faible,56
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,802,23,Initiation Python,Automne,Lundi,75,782.21,Faible,79
Safi,Mixte,Lycée Zerktouni,Lycée,679,13,Intelligence Artificielle MVP,Automne,Vendredi,91,999.46,Faible,69
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,1038,24,Robotique & Arduino,Ete,Mercredi,41,330.36,Faible,47
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,708,22,Creation de Jeux Scratch,Ete,Samedi,113,1173.64,Faible,62
Beni Mellal,Mixte,CPGE Beni Mellal,CPGE,159,20,Robotique & Arduino,Hiver,Vendredi,110,1246.56,Faible,86
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,779,17,Intelligence Artificielle MVP,Printemps,Samedi,16,179.93,Faible,71
Tinghir,Rurale,Lycée Bamou,Lycée,487,17,Robotique & Arduino,Automne,Dimanche,288,2659.29,Faible,92
Tata,Rurale,Lycée Hassan Ier,Lycée,343,14,Initiation Python,Hiver,Mercredi,219,3096.71,Eleve,68
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,816,13,Initiation Python,Ete,Lundi,37,297.58,Faible,41
Settat,Mixte,Lycée Allal Al Fassi,Lycée,808,12,Creation de Jeux Scratch,Ete,Samedi,133,1268.25,Faible,62
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,431,5,Initiation Python,Ete,Mercredi,303,3548.43,Faible,55
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,965,10,Creation de Jeux Scratch,Printemps,Vendredi,42,451.83,Faible,53
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,886,19,Robotique & Arduino,Hiver,Samedi,41,438.68,Faible,76
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,586,12,Initiation Python,Automne,Mercredi,50,423.91,Faible,84
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,357,18,Intelligence Artificielle MVP,Hiver,Vendredi,309,5454.62,Eleve,77
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,297,20,Intelligence Artificielle MVP,Printemps,Mardi,361,2961.57,Faible,79
Marrakech,Urbaine,Lycée Victor Hugo,Lycée,777,6,Creation de Jeux Scratch,Printemps,Mercredi,38,311.87,Faible,55
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,826,20,Initiation Python,Hiver,Lundi,44,441.36,Faible,63
Fes,Urbaine,CPGE Al Khansaa,CPGE,246,4,Robotique & Arduino,Printemps,Mercredi,11,110.43,Faible,56
Safi,Mixte,Lycée Moulay Ismail,Lycée,666,22,Robotique & Arduino,Ete,Dimanche,51,447.51,Faible,67
Azilal,Rurale,Collège Demnate,Collège,572,10,Creation de Jeux Scratch,Hiver,Dimanche,411,4972.86,Eleve,81
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,848,1,Intelligence Artificielle MVP,Hiver,Vendredi,40,470.47,Faible,57
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,990,12,Robotique & Arduino,Automne,Samedi,21,199.72,Faible,77
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,468,1,Robotique & Arduino,Hiver,Mercredi,284,4080.92,Eleve,66
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,288,15,Creation de Jeux Scratch,Automne,Lundi,46,486.21,Faible,62
Settat,Mixte,Lycée Allal Al Fassi,Lycée,860,10,Intelligence Artificielle MVP,Printemps,Mercredi,143,1251.52,Faible,70
Midelt,Rurale,Collège Ibn Khaldoun,Collège,627,14,Initiation Python,Ete,Dimanche,422,4503.17,Moyen,67
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,589,4,Initiation Python,Printemps,Vendredi,91,782.94,Faible,68
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,806,2,Creation de Jeux Scratch,Printemps,Samedi,127,1095.98,Faible,69
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,495,5,Initiation Python,Automne,Samedi,350,3038.19,Faible,73
Settat,Mixte,Lycée Allal Al Fassi,Lycée,860,4,Robotique & Arduino,Hiver,Samedi,54,617.07,Faible,85
Settat,Mixte,Lycée Allal Al Fassi,Lycée,872,18,Initiation Python,Hiver,Dimanche,72,824.72,Faible,77
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,923,3,Robotique & Arduino,Hiver,Vendredi,35,413.95,Faible,53
Tata,Rurale,Lycée Hassan Ier,Lycée,271,6,Robotique & Arduino,Automne,Samedi,333,3982.53,Faible,78
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,845,20,Initiation Python,Automne,Vendredi,103,1095.34,Faible,82
Casablanca,Urbaine,Lycée Mohammed V Casa,Lycée,1095,4,Intelligence Artificielle MVP,Printemps,Mercredi,21,189.29,Faible,62
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,478,13,Creation de Jeux Scratch,Ete,Jeudi,429,3711.43,Faible,55
Settat,Mixte,Collège Al Wahda,Collège,941,22,Intelligence Artificielle MVP,Ete,Samedi,84,981.32,Faible,74
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,467,11,Creation de Jeux Scratch,Ete,Mercredi,442,4555.81,Moyen,64
Kenitra,Mixte,Lycée Technique Kenitra,Lycée Technique,583,22,Initiation Python,Ete,Jeudi,120,1393.4,Faible,63
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Moulay Abdellah Agadir,Lycée,869,2,Creation de Jeux Scratch,Ete,Mardi,20,183.35,Faible,23
Settat,Mixte,Lycée Allal Al Fassi,Lycée,855,15,Robotique & Arduino,Ete,Vendredi,136,1089.8,Faible,70
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,403,4,Intelligence Artificielle MVP,Ete,Vendredi,300,3286.11,Moyen,57
Safi,Mixte,Lycée Moulay Ismail,Lycée,601,7,Initiation Python,Hiver,Mardi,132,1110.67,Faible,71
Zagora,Rurale,Lycée Hassan II,Lycée,373,15,Intelligence Artificielle MVP,Printemps,Samedi,161,1696.49,Moyen,82
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1014,8,Initiation Python,Ete,Samedi,38,332.89,Faible,61
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,433,15,Initiation Python,Automne,Mardi,277,2903.16,Faible,82
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,478,20,Initiation Python,Hiver,Lundi,222,3894.99,Eleve,67
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,551,4,Initiation Python,Hiver,Lundi,402,5035.76,Eleve,65
Safi,Mixte,Lycée Moulay Ismail,Lycée,653,14,Creation de Jeux Scratch,Ete,Samedi,83,752.93,Faible,71
Marrakech,Urbaine,Lycée Ibn Abbad,Lycée,974,12,Initiation Python,Ete,Mardi,31,272.46,Faible,58
Settat,Mixte,Collège Al Wahda,Collège,882,8,Intelligence Artificielle MVP,Ete,Jeudi,149,1363.24,Faible,57
Settat,Mixte,Lycée Allal Al Fassi,Lycée,848,15,Creation de Jeux Scratch,Ete,Mercredi,149,1345.14,Faible,63
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,663,18,Creation de Jeux Scratch,Hiver,Samedi,83,910.35,Faible,75
Chefchaouen,Rurale,Collège Al Houria,Collège,604,16,Initiation Python,Printemps,Dimanche,313,3506.36,Faible,80
Tata,Rurale,Lycée Hassan Ier,Lycée,278,12,Intelligence Artificielle MVP,Hiver,Samedi,305,5308.16,Eleve,85
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1070,1,Robotique & Arduino,Automne,Jeudi,22,193.64,Faible,48
Settat,Mixte,Collège Al Wahda,Collège,943,19,Robotique & Arduino,Ete,Mercredi,127,1056.63,Faible,70
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,805,9,Initiation Python,Automne,Dimanche,95,1070.43,Faible,85
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,407,4,Initiation Python,Printemps,Dimanche,249,2562.8,Faible,80
Chefchaouen,Rurale,Lycée Ibn Khaldoun,Lycée,449,3,Robotique & Arduino,Hiver,Vendredi,213,3028.02,Eleve,74
Zagora,Rurale,Lycée Hassan II,Lycée,383,11,Initiation Python,Automne,Lundi,161,1883.09,Faible,69
Safi,Mixte,Lycée Moulay Ismail,Lycée,582,15,Intelligence Artificielle MVP,Ete,Mercredi,83,956.6,Faible,55
Midelt,Rurale,Lycée Moulay Ali Cherif,Lycée,468,9,Initiation Python,Hiver,Mercredi,276,3486.11,Eleve,70
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,853,14,Robotique & Arduino,Hiver,Mercredi,38,343.87,Faible,70
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,403,10,Intelligence Artificielle MVP,Printemps,Samedi,192,1742.71,Moyen,73
Taroudant,Mixte,Lycée Ibn Soulaiman Roudani,Lycée,559,18,Robotique & Arduino,Printemps,Mercredi,54,453.31,Faible,82
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,921,11,Robotique & Arduino,Hiver,Dimanche,17,146.07,Faible,76
Tata,Rurale,Collège Ibn Batouta,Collège,511,0,Creation de Jeux Scratch,Hiver,Vendredi,438,7276.93,Eleve,64
Al Hoceima,Rurale,Lycée Bayed Moulay,Lycée,403,9,Robotique & Arduino,Automne,Mardi,278,2560.45,Faible,73
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,782,6,Robotique & Arduino,Ete,Dimanche,134,1588.49,Faible,57
Settat,Mixte,Lycée Allal Al Fassi,Lycée,813,13,Initiation Python,Ete,Dimanche,97,1062.25,Faible,69
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,917,11,Robotique & Arduino,Printemps,Jeudi,14,126.31,Faible,57
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,902,4,Creation de Jeux Scratch,Automne,Samedi,50,544.14,Faible,54
Rabat,Urbaine,Lycée Lalla Aicha,Lycée,884,24,Intelligence Artificielle MVP,Automne,Mardi,43,354.56,Faible,73
Tata,Rurale,Lycée Hassan Ier,Lycée,341,17,Robotique & Arduino,Hiver,Mardi,320,5151.35,Eleve,84
Settat,Mixte,Lycée Allal Al Fassi,Lycée,894,14,Initiation Python,Ete,Mercredi,132,1164.94,Faible,58
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,728,24,Intelligence Artificielle MVP,Automne,Mercredi,74,767.22,Faible,68
Fes,Urbaine,CPGE Al Khansaa,CPGE,171,0,Robotique & Arduino,Hiver,Samedi,43,504.16,Faible,57
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,839,21,Intelligence Artificielle MVP,Printemps,Samedi,85,921.26,Faible,78
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,948,8,Creation de Jeux Scratch,Hiver,Dimanche,27,289.4,Faible,65
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1004,6,Initiation Python,Printemps,Jeudi,29,318.45,Faible,62
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1008,22,Creation de Jeux Scratch,Hiver,Lundi,29,272.64,Faible,53
Kenitra,Mixte,Lycée Abdelmalek Essaadi,Lycée,691,9,Creation de Jeux Scratch,Printemps,Vendredi,103,1019.1,Faible,66
Chefchaouen,Rurale,Collège Al Houria,Collège,598,6,Creation de Jeux Scratch,Ete,Jeudi,415,4662.77,Moyen,51
Settat,Mixte,Lycée Allal Al Fassi,Lycée,847,10,Intelligence Artificielle MVP,Automne,Mercredi,129,1399.23,Faible,73
Beni Mellal,Mixte,Lycée Hassan II Beni Mellal,Lycée,692,11,Creation de Jeux Scratch,Printemps,Samedi,76,886.36,Faible,77
Tanger-Assilah,Urbaine,Lycée Technique Tanger,Lycée Technique,739,15,Robotique & Arduino,Hiver,Dimanche,15,144.75,Faible,79
Rabat,Urbaine,CPGE Descartes Rabat,CPGE,203,11,Robotique & Arduino,Printemps,Vendredi,45,482.78,Faible,68
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,681,4,Intelligence Artificielle MVP,Ete,Dimanche,61,651.33,Faible,51
Beni Mellal,Mixte,Lycée Ibn Sina,Lycée,751,4,Robotique & Arduino,Automne,Mardi,142,1542.17,Faible,73
Zagora,Rurale,Collège Al Massira,Collège,486,5,Robotique & Arduino,Automne,Mardi,213,1965.39,Faible,77
Fes,Urbaine,Lycée Ibn Al Khatib,Lycée,838,6,Initiation Python,Automne,Lundi,23,217.42,Faible,52
Taroudant,Mixte,Lycée Mohammed V Taroudant,Lycée,645,9,Robotique & Arduino,Hiver,Dimanche,149,1412.73,Faible,72
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,892,5,Creation de Jeux Scratch,Hiver,Mercredi,48,421.43,Faible,58
Marrakech,Urbaine,Lycée Hassan II Marrakech,Lycée,867,8,Initiation Python,Printemps,Jeudi,22,231.32,Faible,59
Tanger-Assilah,Urbaine,Lycée Moulay Abdelaziz,Lycée,973,16,Robotique & Arduino,Hiver,Samedi,37,413.11,Faible,72
Tinghir,Rurale,Lycée Salah Eddine Al Ayoubi,Lycée,379,8,Initiation Python,Ete,Mercredi,447,5218.94,Moyen,54
Settat,Mixte,Lycée Allal Al Fassi,Lycée,809,8,Initiation Python,Ete,Lundi,144,1387.7,Faible,48
Azilal,Rurale,Lycée Technique Azilal,Lycée Technique,312,15,Robotique & Arduino,Printemps,Mardi,192,1740.93,Moyen,86
Tinghir,Rurale,Lycée Bamou,Lycée,479,23,Intelligence Artificielle MVP,Hiver,Lundi,188,2669.18,Eleve,75
Tinghir,Rurale,Collège Ibn Sina,Collège,647,3,Robotique & Arduino,Hiver,Samedi,353,4648.17,Eleve,87
Tinghir,Rurale,Collège Ibn Sina,Collège,664,8,Initiation Python,Printemps,Jeudi,267,2711.28,Moyen,81
Zagora,Rurale,Lycée Hassan II,Lycée,444,8,Robotique & Arduino,Automne,Lundi,185,1977.61,Moyen,77
Settat,Mixte,Collège Al Wahda,Collège,862,8,Creation de Jeux Scratch,Printemps,Samedi,110,1083.43,Faible,78
Rabat,Urbaine,Lycée Moulay Youssef,Lycée,1059,1,Intelligence Artificielle MVP,Automne,Mardi,46,435.69,Faible,47
Tinghir,Rurale,Lycée Bamou,Lycée,505,13,Creation de Jeux Scratch,Hiver,Dimanche,286,3459.17,Eleve,89
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1066,22,Creation de Jeux Scratch,Automne,Dimanche,28,252.33,Faible,70
Agadir-Ida-Ou-Tanane,Urbaine,Lycée Al Imam Malik,Lycée,989,10,Initiation Python,Ete,Vendredi,49,532.26,Faible,51
Casablanca,Urbaine,Lycée technique Ain Sebaa,Lycée Technique,918,22,Creation de Jeux Scratch,Ete,Vendredi,19,169.2,Faible,53
Chefchaouen,Rurale,Collège Al Houria,Collège,583,2,Initiation Python,Ete,Dimanche,448,3598.83,Moyen,55
Fes,Urbaine,Lycée Moulay Idriss,Lycée,1037,21,Initiation Python,Automne,Jeudi,37,319.33,Faible,60
Safi,Mixte,Lycée Moulay Ismail,Lycée,666,24,Robotique & Arduino,Hiver,Samedi,51,411.96,Faible,79
Settat,Mixte,Lycée Allal Al Fassi,Lycée,853,0,Intelligence Artificielle MVP,Ete,Mardi,109,1260.45,Faible,47
Al Hoceima,Rurale,Lycée Mohammed V,Lycée,520,13,Creation de Jeux Scratch,Ete,Lundi,218,2383.05,Moyen,56
Kenitra,Mixte,Lycée Ibn Tahir,Lycée,853,16,Robotique & Arduino,Hiver,Samedi,98,1017.38,Faible,91
Settat,Mixte,Lycée Allal Al Fassi,Lycée,890,4,Creation de Jeux Scratch,Printemps,Vendredi,90,1040.34,Faible,69
